Data,Godzina,RCE
20230217,10,772.01
20230217,11,745.72
20230217,12,752.43
20230217,13,700.01
20230217,14,679.13
20230217,15,676.02
20230217,16,673.63
20230217,17,655.77
20230217,18,663.24
20230217,19,614.32
20230217,20,618.89
20230217,21,566.46
20230217,22,508.37
20230217,23,494.52
20230217,24,435.87
20230218,1,448.77
20230218,2,414.86
20230218,3,390.39
20230218,4,368.1
20230218,5,350.77
20230218,6,388.9
20230218,7,433.14
20230218,8,451.09
20230218,9,488.42
20230218,10,502.19
20230218,11,497.36
20230218,12,502.19
20230218,13,496.26
20230218,14,529.55
20230218,15,546.05
20230218,16,557.39
20230218,17,575.49
20230218,18,597.02
20230218,19,600.84
20230218,20,592.35
20230218,21,568.92
20230218,22,556.13
20230218,23,559.4
20230218,24,521.44
20230219,1,480.9
20230219,2,464.12
20230219,3,449.05
20230219,4,426.4
20230219,5,427.1
20230219,6,440.15
20230219,7,458.29
20230219,8,488.36
20230219,9,529.46
20230219,10,541.74
20230219,11,516.7
20230219,12,480.19
20230219,13,452.48
20230219,14,451.12
20230219,15,440.4
20230219,16,484.25
20230219,17,552.42
20230219,18,610.34
20230219,19,640.24
20230219,20,639.78
20230219,21,592.69
20230219,22,542.76
20230219,23,524.04
20230219,24,469.11
20230220,1,388.32
20230220,2,386.26
20230220,3,388.27
20230220,4,387.33
20230220,5,388.47
20230220,6,451.04
20230220,7,561.92
20230220,8,600.91
20230220,9,624.49
20230220,10,610.1
20230220,11,592.41
20230220,12,562.55
20230220,13,552.82
20230220,14,540.52
20230220,15,538.02
20230220,16,530.17
20230220,17,567.75
20230220,18,584.37
20230220,19,574.02
20230220,20,578.5
20230220,21,540.78
20230220,22,507.0
20230220,23,489.32
20230220,24,411.86
20230221,1,297.36
20230221,2,274.69
20230221,3,246.69
20230221,4,248.74
20230221,5,313.96
20230221,6,413.24
20230221,7,498.35
20230221,8,545.06
20230221,9,566.35
20230221,10,561.55
20230221,11,545.05
20230221,12,536.37
20230221,13,525.42
20230221,14,547.26
20230221,15,563.39
20230221,16,613.14
20230221,17,694.32
20230221,18,759.85
20230221,19,799.46
20230221,20,798.78
20230221,21,765.38
20230221,22,741.17
20230221,23,729.61
20230221,24,659.19
20230222,1,666.55
20230222,2,650.01
20230222,3,642.87
20230222,4,640.39
20230222,5,642.46
20230222,6,707.31
20230222,7,789.99
20230222,8,846.37
20230222,9,865.54
20230222,10,821.69
20230222,11,773.1
20230222,12,717.54
20230222,13,721.69
20230222,14,741.96
20230222,15,751.08
20230222,16,803.34
20230222,17,817.01
20230222,18,838.77
20230222,19,863.48
20230222,20,844.85
20230222,21,799.22
20230222,22,730.2
20230222,23,712.13
20230222,24,636.83
20230223,1,624.32
20230223,2,605.35
20230223,3,592.49
20230223,4,585.98
